token,frequency,token_preprocessed
الجوزي,1,الجوزي
الزلات,2,الزلات
مجبولون,1,مجبولون
والأخطاء,1,والأخطاء
وخطيئة,1,وخطيئة
وأتعب,1,وأتعب
والعاقل,1,والعاقل
وكبيرة,1,وكبيرة
أحبابه,1,أحبابه
وأصحابه,1,وأصحابه
وجيرانه,1,وجيرانه
تحلو,1,تحلو
مجالسته,1,مجالسته
وتصفو,1,وتصفو
عشرته,1,عشرته
تتطوروا,1,تتطوروا
ترتقي,1,ترتقي
يقاتلوكم,1,يقاتلوكم
ويمرغوا,1,ويمرغوا
أنوفكم,1,أنوفكم
بالتراب,2,بالتراب
نفترض,1,نفترض
وفعلوا,1,وفعلوا
لجنودكم,1,لجنودكم
وإحراق,1,وإحراق
دباباتكم,1,دباباتكم
ومصفحاتكم,1,ومصفحاتكم
ويقصفوكم,1,ويقصفوكم
مصيركم,1,مصيركم
حاربكم,1,حاربكم
وشماله,1,وشماله
فحياتك,1,فحياتك
كلهااااااا,1,كلهااااااا
تفاهيين,1,تفاهيين
هاتصحي,1,هاتصحي
العاقبة,1,العاقبة
سامعاني,1,سامعاني
معنااه,1,معنااه
علفكره,1,علفكره
راحه,2,راحه
افتقادهم,1,افتقادهم
فتضحك,1,فتضحك
القبعة,1,القبعة
بكوك,1,بكوك
حيدري,1,حيدري
والمهري,1,والمهري
وجاسم,1,وجاسم
مقربون,1,مقربون
لسلطه,1,لسلطه
وهوسبب,1,وهوسبب
الطاحوس,1,الطاحوس
الداهوم,1,الداهوم
بكفاله,1,بكفاله
بصرخ,2,بصرخ
ماصليت,1,ماصليت
ماتشالا,1,ماتشالا
يانبضه,1,يانبضه
وطبه,1,وطبه
أركن,1,أركن
بصلي,1,بصلي
وقاللى,1,وقاللى
عاهدوا,1,عاهدوا
التخمين,1,التخمين
الاحتمالات,1,الاحتمالات
theBlackSwan,1,theBlackSwan
كليتي,2,كليتي
تحميني,1,تحميني
إنسانه,1,إنسانه
بأمور,1,بأمور
وأخلاقي,1,وأخلاقي
المقابله,1,المقابله
يامسرات,1,يامسرات
الصاحب,3,الصاحب
اصحابك,1,اصحابك
وتأخذ,1,وتأخذ
التشكي,1,التشكي
والولولة,1,والولولة
الظريفة,1,الظريفة
ااالدلمانيبعد,1,ااالدلمانيبعد
تبلد,1,تبلد
تنعدم,1,تنعدم
أتجاة,1,أتجاة
fxxM,1,fxxM
بالبلاء,1,بالبلاء
للورد,1,للورد
التحريات,2,التحريات
اخبط,1,اخبط
بعدهاخبرحبسه,1,بعدهاخبرحبسه
اعتدي,1,اعتدي
الماسونيه,1,الماسونيه
بتدافعين,1,بتدافعين
يغتصب,1,يغتصب
فأتيت,1,فأتيت
لأتلقى,1,لأتلقى
ردات,1,ردات
فعاليه,2,فعاليه
بفتيات,1,بفتيات
بالشرقية,1,بالشرقية
للداخليه,1,للداخليه
لاعتصام,1,لاعتصام
هاجمتهم,1,هاجمتهم
اعتقالهم,1,اعتقالهم
مننصدم,1,مننصدم
شاري,1,شاري
تلاجة,1,تلاجة
Mubarak,1,Mubarak
ابغاه,2,ابغاه
احقرك,1,احقرك
الاعجاب,1,الاعجاب
أحمس,2,أحمس
والهكسوس,2,والهكسوس
والبغض,1,والبغض
ابتسموا,1,ابتسموا
وسامحوا,1,وسامحوا
مقصوده,1,مقصوده
Aمساء,1,Aمساء
اااالصالحفي,1,اااالصالحفي
لتقيم,1,لتقيم
وتخطط,1,وتخطط
لتقفز,1,لتقفز
prcZU,1,prcZU
سواليفك,1,سواليفك
ربيعي,1,ربيعي
أبلة,1,أبلة
عاجباك,1,عاجباك
وبؤرة,1,وبؤرة
وتهييج,1,وتهييج
يقدموه,1,يقدموه
كاية,1,كاية
إشتغلي,1,إشتغلي
الإسفاف,1,الإسفاف
لاغرابة,1,لاغرابة
كباراسيا,1,كباراسيا
فتاريخ,1,فتاريخ
النصرمطرزبالخمسات,1,النصرمطرزبالخمسات
والاربعات,1,والاربعات
بطولةابطال,1,بطولةابطال
لخويا,2,لخويا
والميس,1,والميس
تعاقبه,1,تعاقبه
تهويش,1,تهويش
للتفاؤل,1,للتفاؤل
زمانكو,1,زمانكو
بتفكرة,1,بتفكرة
تخلعوا,1,تخلعوا
توصولو,1,توصولو
الببببصمممممانالحليم,1,الببببصمممممانالحليم
f9m,1,f9m
أتيه,1,أتيه
تبعثر,1,تبعثر
أجزائي,1,أجزائي
بقادرة,1,بقادرة
فبالله,1,فبالله
عساي,1,عساي
بخفض,1,بخفض
jetplan,1,jetplan
الفيزيا,1,الفيزيا
بيعيطوا,1,بيعيطوا
العلمى,1,العلمى
ولاهى,1,ولاهى
فداكوا,1,فداكوا
للأصدق,1,للأصدق
والأوفى,1,والأوفى
شوفتك,1,شوفتك
وشفا,1,وشفا
ماباحبش,1,ماباحبش
ماشوفتش,1,ماشوفتش
بتعملوه,1,بتعملوه
بانيه,1,بانيه
مايسوى,1,مايسوى
ينشاف,1,ينشاف
بالكيبوب,2,بالكيبوب
العصيبه,1,العصيبه
يعكننا,1,يعكننا
ونجيناه,1,ونجيناه
أهما,1,أهما
يايين,2,يايين
والاجتهاد,1,والاجتهاد
ادعولي,1,ادعولي
المسيحى,2,المسيحى
ثنيان,1,ثنيان
مقامي,1,مقامي
جيته,1,جيته
وحفته,1,وحفته
وبايو,1,وبايو
وتتبع,1,وتتبع
بالعجز,1,بالعجز
والخور,1,والخور
فخذوا,1,فخذوا
أحسنها,1,أحسنها
أكثرها,1,أكثرها
صريعا,1,صريعا
بداخله,1,بداخله
ليخبرك,1,ليخبرك
بذلكwy3Rp,1,بذلكwy3Rp
ويحتلها,1,ويحتلها
بجيوشه,1,بجيوشه
العرمرمية,1,العرمرمية
الحشمة,1,الحشمة
كبح,1,كبح
جماح,1,جماح
وإنتي,1,وإنتي
المشتهاة,1,المشتهاة
استري,1,استري
سيعاقبني,1,سيعاقبني
تدخلين,1,تدخلين
ذكوري,1,ذكوري
بيطلبو,1,بيطلبو
بولا,1,بولا
عحدا,1,عحدا
للإنتربول,1,للإنتربول
سابته,1,سابته
يستهوي,1,يستهوي
المغص,1,المغص
جابتهولنا,1,جابتهولنا
البارعون,1,البارعون
لايملكون,2,لايملكون
رفقآ,1,رفقآ
بأرواحكم,1,بأرواحكم
مشفقون,1,مشفقون
والجنة,1,والجنة
والاسطحتركيب,3,والاسطحتركيب
المنازلتركيب,1,المنازلتركيب
مناع,2,مناع
منفريق,1,منفريق
طاردجوال,1,طاردجوال
0545383325,1,0545383325
المتسببة,1,المتسببة
وبتحميه,1,وبتحميه
بيشجعوه,1,بيشجعوه
وضوابط,1,وضوابط
مركزيا,1,مركزيا
والضوابط,1,والضوابط
الاسس,1,الاسس
يعتمدها,1,يعتمدها
ومباركة,1,ومباركة
مطروحة,1,مطروحة
NowPlaying,1,NowPlaying
يسألو,1,يسألو
بانفعال,1,بانفعال
وكذبت,1,وكذبت
أخن,1,أخن
ائتمنني,1,ائتمنني
نذلا,1,نذلا
فدولة,1,فدولة
وهيئات,1,وهيئات
رقابيةاخضاع,1,رقابيةاخضاع
الجهازالمركزى,1,الجهازالمركزى
اعدين,1,اعدين
بصرخوله,1,بصرخوله
صدت,1,صدت
وماحدا,1,وماحدا
استشهدو,1,استشهدو
اترمو,1,اترمو
إفرح,1,إفرح
سيعوضك,1,سيعوضك
هينضف,1,هينضف
وتمر,1,وتمر
وفجأه,3,وفجأه
مقصدة,1,مقصدة
y3nee,1,y3nee
kattar,1,kattar
5erek,1,5erek
الانمي,2,الانمي
لحوج,1,لحوج
كلوزقي,1,كلوزقي
طيوز,1,طيوز
بتكشفين,1,بتكشفين
تكشفين,1,تكشفين
ويقودنا,2,ويقودنا
وعمالين,1,وعمالين
الفرقع,1,الفرقع
لوز,1,لوز
وهناء,1,وهناء
هياتم,1,هياتم
كدبهم,1,كدبهم
ونفاقهم,1,ونفاقهم
Adobe,1,Adobe
بيقطعوا,1,بيقطعوا
وبيحرقوا,1,وبيحرقوا
دواليب,1,دواليب
بتتهجم,1,بتتهجم
فايسبوك,1,فايسبوك
أشم,1,أشم
بصصلى,1,بصصلى
ياحصره,1,ياحصره
الانس,1,الانس
يعبدو,1,يعبدو
خت,1,خت
سيمسح,1,سيمسح
وينهض,1,وينهض
لينفض,1,لينفض
ثوبه,1,ثوبه
ليخطب,1,ليخطب
إبنته,1,إبنته
ابناءه,3,ابناءه
ابتسامته,1,ابتسامته
يخللوه,1,يخللوه
ياابني,1,ياابني
ماعارف,1,ماعارف
وميعرفش,1,وميعرفش
يلمها,1,يلمها
ووظيفية,1,ووظيفية
يضحككك,2,يضحككك
البلام,1,البلام
تمنعني,1,تمنعني
ماخانت,1,ماخانت
وعدها,1,وعدها
وأشرقت,1,وأشرقت
أعتبر,1,أعتبر
الملاحظات,1,الملاحظات
أفهقوا,1,أفهقوا
مجاهيم,1,مجاهيم
ظنونكم,1,ظنونكم
يبل,1,يبل
ريق,1,ريق
حمطير,1,حمطير
ويجيله,1,ويجيله
رعاش,1,رعاش
تجيلهم,1,تجيلهم
شوطة,1,شوطة
باخبارها,1,باخبارها
قزرتها,1,قزرتها
بسالفة,1,بسالفة
نمنمنمممم,1,نمنمنمممم
مايغضبنا,1,مايغضبنا
بحقد,1,بحقد
وعلو,1,وعلو
يتركوننا,1,يتركوننا
المروحة,1,المروحة
اتقن,1,اتقن
والآخرى,1,والآخرى
هياما,2,هياما
خائنها,1,خائنها
تبجي,1,تبجي
رومنسي,2,رومنسي
يبجي,1,يبجي
ومدريد,1,ومدريد
هيبتك,1,هيبتك
يالهامور,1,يالهامور
لمتابعين,1,لمتابعين
الهامور,1,الهامور
يعذربنا,1,يعذربنا
عذروب,1,عذروب
وماضينا,1,وماضينا
نونMKPسنتر,1,نونMKPسنتر
بوينتCB,1,بوينتCB
كلوسيتKR,1,كلوسيتKR
بيبيB,1,بيبيB
ماكسMF,1,ماكسMF
شيكSA,1,شيكSA
استايليPJمذركيرM,1,استايليPJمذركيرM
WWنمشيALL,1,WWنمشيALL
اوناسXDماماز,1,اوناسXDماماز
بابازM108T,1,بابازM108T
شريرة,1,شريرة
وجمعها,1,وجمعها
الحمض,1,الحمض
قاهرني,1,قاهرني
استخف,3,استخف
بالعلماء,1,بالعلماء
دنياه,1,دنياه
مروءته,1,مروءته
مانظلمش,1,مانظلمش
ونديه,1,ونديه
الجباية,1,الجباية
يشوفو,1,يشوفو
وثقتك,1,وثقتك
تخيب,1,تخيب
تقصدى,2,تقصدى
بالسياره,3,بالسياره
قاصدك,2,قاصدك
أدمعي,1,أدمعي
معذبي,1,معذبي
توديها,1,توديها
وأغنية,1,وأغنية
تجيبها,1,تجيبها
الحلبة,2,الحلبة
وأسمع,1,وأسمع
ONE,1,ONE
يخصم,1,يخصم
2rT,1,2rT
هتنتخب,1,هتنتخب
استبنه,1,استبنه
النصرانى,1,النصرانى
الصهيوصليبى,1,الصهيوصليبى
المرشوم,1,المرشوم
hypocrite,1,hypocrite
يوزري,1,يوزري
ببايو,1,ببايو
بمحاسبه,1,بمحاسبه
ديرتهم,1,ديرتهم
يبونا,2,يبونا
بلغتهم,2,بلغتهم
يوظفونا,1,يوظفونا
لغتهم,1,لغتهم
رولكس,1,رولكس
وتوجد,1,وتوجد
وماركات,1,وماركات
سنابالتوصيل,1,سنابالتوصيل
30556031932,1,30556031932
أكتبها,2,أكتبها
أتخلص,1,أتخلص
للتذاكي,1,للتذاكي
المريوانا,1,المريوانا
يفسده,1,يفسده
يرزقك,1,يرزقك
رزقك,2,رزقك
ليحرمك,1,ليحرمك
ويرزقه,1,ويرزقه
يردهما,1,يردهما
صفرا,1,صفرا
حماقاتي,1,حماقاتي
الأشخااص,1,الأشخااص
خلدا,1,خلدا
ستوري,2,ستوري
توكيو,1,توكيو
بيغيروا,1,بيغيروا
snapchat,1,snapchat
العلاوة,1,العلاوة
لوسائل,1,لوسائل
وإصراره,1,وإصراره
وتصميمه,1,وتصميمه
أتي,1,أتي
صلحها,1,صلحها
وطورها,1,وطورها
ياسطي,2,ياسطي
ماتطلع,1,ماتطلع
المحجوب,2,المحجوب
اقترابها,1,اقترابها
النفطي,1,النفطي
جاهزية,1,جاهزية
للتعامل,1,للتعامل
ههههههههههههههههههههههه,1,ههههههههههههههههههههههه
اجرت,1,اجرت
بتخريب,1,بتخريب
الربعي,1,الربعي
لاتتعجبوا,1,لاتتعجبوا
إحالته,1,إحالته
للمحاكمة,1,للمحاكمة
التعدى,1,التعدى
سنج,1,سنج
وشوم,1,وشوم
ألغي,1,ألغي
محسش,1,محسش
أزيد,1,أزيد
بتعاطف,1,بتعاطف
بحسها,1,بحسها
أطفي,1,أطفي
عاطفة,1,عاطفة
جوايا,1,جوايا
محبش,1,محبش
أزعل,1,أزعل
زيادته,1,زيادته
متطوره,1,متطوره
ياسلااااام,1,ياسلااااام
وامدح,1,وامدح
رزقهم,1,رزقهم
يشحت,3,يشحت
للاداره,1,للاداره
الهراج,1,الهراج
اليوجا,1,اليوجا
للعيال,2,للعيال
التوتو,1,التوتو
النفسى,1,النفسى
ارزع,1,ارزع
ادامى,1,ادامى
رباط,1,رباط
صليبى,1,صليبى
الفريدة,1,الفريدة
نوعها,1,نوعها
الذاتيةوهي,1,الذاتيةوهي
انفوجورافيك,1,انفوجورافيك
ويرضي,1,ويرضي
الكلاسيكو,4,الكلاسيكو
ساطير,1,ساطير
بينتو,1,بينتو
آدان,1,آدان
وسيغيب,1,وسيغيب
فالديز,1,فالديز
ميدلي,1,ميدلي
أهشتق,1,أهشتق
Naaaaaaaa,1,Naaaaaaaa
would,1,would
take,1,take
chances,1,chances
لايحمل,1,لايحمل
ماليس,1,ماليس
شريطة,1,شريطة
واحصاء,1,واحصاء
وألا,1,وألا
آلى,1,آلى
000,1,000
بطيئة,1,بطيئة
للعش,1,للعش
عدها,1,عدها
أفسدتي,1,أفسدتي
لعباقرة,1,لعباقرة
تسابقت,1,تسابقت
ستجدها,1,ستجدها
أمامك,1,أمامك
سامحلنا,1,سامحلنا
ببرشام,1,ببرشام
هاع,2,هاع
هاغ,1,هاغ
للصراحة,1,للصراحة
جيميننن,1,جيميننن
المانشستراوية,2,المانشستراوية
بكينا,1,بكينا
ماتبكينا,1,ماتبكينا
خبزه,1,خبزه
ياخيي,1,ياخيي
جماهيركم,1,جماهيركم
نظرنا,1,نظرنا
سبونا,1,سبونا
poker,1,poker
face,1,face
facial,1,facial
expressions,1,expressions
مألوفه,1,مألوفه
قوسين,1,قوسين
sarcasm,1,sarcasm
خفةدمه,1,خفةدمه
خصمهم,1,خصمهم
اتلتكومدريد,1,اتلتكومدريد
بوليت,2,بوليت
ياغوبيان,1,ياغوبيان
لحقو,1,لحقو
لعي,1,لعي
وفلسفة,1,وفلسفة
وطق,1,وطق
تحتج,1,تحتج
لبكي,2,لبكي
بهالمجلس,1,بهالمجلس
منيرة,1,منيرة
ملامحنا,1,ملامحنا
نتداوى,1,نتداوى
ذاتيا,1,ذاتيا
للإنتاج,1,للإنتاج
الحربى,1,الحربى
تومورووووووو,1,تومورووووووو
أدهش,1,أدهش
جسدتم,1,جسدتم
وحدتكم,1,وحدتكم
ابرق,1,ابرق
المؤجره,1,المؤجره
مستخدمه,1,مستخدمه
والبياعات,1,والبياعات
دراميه,1,دراميه
بالأداء,1,بالأداء
وأبدع,1,وأبدع
مسلسلي,1,مسلسلي
ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,1,ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه
بدعوتنا,1,بدعوتنا
للهجرة,1,للهجرة
هلموا,1,هلموا
تناديكم,2,تناديكم
ساركازم,1,ساركازم
لبتها,1,لبتها
وهنقضيها,1,وهنقضيها
هيستجيب,1,هيستجيب
ويتعطف,1,ويتعطف
ويقبل,1,ويقبل
موقادرين,1,موقادرين
يمسكون,2,يمسكون
قوبل,1,قوبل
وعبدالمحسن,2,وعبدالمحسن
بالتبديل,1,بالتبديل
اركز,2,اركز
حمايا,1,حمايا
فوضوى,1,فوضوى
أعجبتني,1,أعجبتني
ويوعدون,1,ويوعدون
بالتنمية,1,بالتنمية
ورسم,1,ورسم
الأوادم,1,الأوادم
بترسمون,1,بترسمون
وانتى,1,وانتى
الشاامبو,1,الشاامبو
عينى,1,عينى
يموتنى,1,يموتنى
المحترررفينفوق,1,المحترررفينفوق
a7k9l,1,a7k9l
لقرارك,1,لقرارك
ولاتجعله,1,ولاتجعله
بارت,1,بارت
هالسياسه,1,هالسياسه
نصارح,1,نصارح
هالضجة,1,هالضجة
صوتش,1,صوتش
جيس,1,جيس
ينحنوا,1,ينحنوا
إنن,1,إنن
ومسحوا,1,ومسحوا
خصلتان,1,خصلتان
مفتون,1,مفتون
الخصال,1,الخصال
ماسكته,1,ماسكته
ينفعني,1,ينفعني
كريستا,2,كريستا
المحترفين,1,المحترفين
والجوار,1,والجوار
والتأريخ,1,والتأريخ
المزور,1,المزور
المحرف,1,المحرف
اميال,1,اميال
واميال,1,واميال
والتمحيص,1,والتمحيص
والتدقيق,1,والتدقيق
١٧٦,1,١ ٧ ٦
كسروان,1,كسروان
خسروان,1,خسروان
جزين,1,جزين
ياحلوك,2,ياحلوك
حزنت,1,حزنت
بالنقاش,1,بالنقاش
معتقدهم,1,معتقدهم
المشرب,1,المشرب
نعمةالعقل,1,نعمةالعقل
ببلاغة,1,ببلاغة
يتركها,1,يتركها
إستثماري,1,إستثماري
ويتقاسمه,1,ويتقاسمه
السماسرة,1,السماسرة
للاصطفاء,1,للاصطفاء
والاختصاصوالحفظ,1,والاختصاصوالحفظ
عبدي,1,عبدي
بالنوافل,1,بالنوافل
أحبه,2,أحبه
أحببته,1,أحببته
بهوبصره,1,بهوبصره
بهويده,1,بهويده
بهاورجله,1,بهاورجله
بهاوإن,1,بهاوإن
لأعطينهولئن,1,لأعطينهولئن
استعاذني,1,استعاذني
لأعيذنه,1,لأعيذنه
أبوين,1,أبوين
أولياؤها,1,أولياؤها
شرطهم,1,شرطهم
بعاداتهم,1,بعاداتهم
يشاركوهم,1,يشاركوهم
للزوج,1,للزوج
بالعادات,1,بالعادات
حسنته,1,حسنته
وتمورو,1,وتمورو
وحاضرين,1,وحاضرين
تصدقن,1,تصدقن
وأكثرن,1,وأكثرن
رأيتكن,1,رأيتكن
فقالت,1,فقالت
منهن,1,منهن
جزلة,1,جزلة
تكثرن,1,تكثرن
اللعن,1,اللعن
وتكفرن,1,وتكفرن
العشير,1,العشير
النظررره,1,النظررره
ورعد,1,ورعد
واجواء,1,واجواء
ياااااهوووووو,1,ياااااهوووووو
القلتش,1,القلتش
الجهبز,1,الجهبز
العريضه,1,العريضه
شبكا,1,شبكا
بصيانته,1,بصيانته
الأجزاء,1,الأجزاء
المقطوعة,1,المقطوعة
هلكوني,1,هلكوني
آاالان,1,آاالان
ياحمدوك,1,ياحمدوك
عوراتك,1,عوراتك
القاتمة,1,القاتمة
الدسم,1,الدسم
والضعف,1,والضعف
وقحتك,1,وقحتك
ليضيعوا,1,ليضيعوا
تشبههم,1,تشبههم
إفتراء,1,إفتراء
متسخه,2,متسخه
نني,1,نني
أظافري,1,أظافري
كثيرآ,1,كثيرآ
اكسسوار,1,اكسسوار
كزينة,1,كزينة
جانبية,1,جانبية
منلبسو,1,منلبسو
ومنشحلو,1,ومنشحلو
صدا,1,صدا
ومنرجع,1,ومنرجع
منبلسو,1,منبلسو
نشتقلو,1,نشتقلو
ريم,1,ريم
ملحدة,1,ملحدة
تراعيها,1,تراعيها
تعبري,1,تعبري
ذاهب,1,ذاهب
لصيد,1,لصيد
لتوصية,1,لتوصية
يلالتة,1,يلالتة
واراكم,1,واراكم
انسلي,1,انسلي
لتوصيته,1,لتوصيته
KingAdvice,2,KingAdvice
بيدعى,1,بيدعى
ومضحوك,1,ومضحوك
فثوره,1,فثوره
بيركز,1,بيركز
بستغربه,1,بستغربه
بركز,1,بركز
لحبيبتو,1,لحبيبتو
حكتلو,1,حكتلو
جمبزة,1,جمبزة
اجياب,1,اجياب
وعشرين,1,وعشرين
يضربونه,1,يضربونه
بالإنتقام,1,بالإنتقام
فالقدر,1,فالقدر
Jtgt,1,Jtgt
يجددوا,1,يجددوا
مااااااء,2,مااااااء
أبوصليب,1,أبوصليب
ياعىيد,1,ياعىيد
بتسألني,1,بتسألني
بتنزلي,1,بتنزلي
جاوبن,1,جاوبن
بحارس,1,بحارس
سواد,1,سواد
تجربون,1,تجربون
الطباخ,1,الطباخ
وجالسة,1,وجالسة
مشتهية,1,مشتهية
ومستحية,1,ومستحية
ومستشرفة,1,ومستشرفة
بسريه,1,بسريه
راحتي,5,راحتي
المحترررفينالأمل,1,المحترررفينالأمل
الدمعة,1,الدمعة
يسقطها,1,يسقطها
yluvB,1,yluvB
مساكها,1,مساكها
إعوجاع,1,إعوجاع
وإبتسامة,1,وإبتسامة
مساعدا,1,مساعدا
مايمديه,1,مايمديه
مرقوع,1,مرقوع
شاركتو,1,شاركتو
بضع,1,بضع
سنلتقي,1,سنلتقي
ونتحدث,1,ونتحدث
ونذكر,1,ونذكر
ولكنك,1,ولكنك
ثريد,3,ثريد
واشياءهم,1,واشياءهم
مخيرة,1,مخيرة
اثارت,1,اثارت
وسودت,1,وسودت
مخبوء,2,مخبوء
المرآ,1,المرآ
تلفونه,1,تلفونه
أبيع,1,أبيع
اييبلي,1,اييبلي
KSE,1,KSE
اتعلمتها,1,اتعلمتها
الاي,1,الاي
ينت,1,ينت
عيالى,1,عيالى
اتشوز,1,اتشوز
وانقلش,1,وانقلش
المخلوقات,1,المخلوقات
تحلطما,1,تحلطما
وجلدا,1,وجلدا
متحلطمين,1,متحلطمين
محفوض,1,محفوض
والإضراب,1,والإضراب
تيمنا,1,تيمنا
بالمناضل,1,بالمناضل
معكش,1,معكش
وتذهب,1,وتذهب
زهورا,1,زهورا
لتضعها,1,لتضعها
حيتصلح,1,حيتصلح
نرميها,1,نرميها
بنسرق,1,بنسرق
واللوم,1,واللوم
تتكرم,1,تتكرم
ادباء,2,ادباء
ويطمبل,1,ويطمبل
وجالس,1,وجالس
المرحومة,2,المرحومة
أطمن,1,أطمن
وأطمن,1,وأطمن
ختموا,1,ختموا
جوازي,1,جوازي
أضطريت,1,أضطريت
التركيين,1,التركيين
أنظمتهم,1,أنظمتهم
فرشتها,1,فرشتها
بالأخير,1,بالأخير
يطلعونك,1,يطلعونك
أنشئ,1,أنشئ
يشف,1,يشف
ااالدلمانيمبسوط,1,ااالدلمانيمبسوط
8VaU,1,8VaU
20k,1,20k
شازام,1,شازام
كوينز,1,كوينز
اومق,2,اومق
اداءهم,1,اداءهم
مخلصتش,1,مخلصتش
هضما,1,هضما
سيئاتغيره,1,سيئاتغيره
يهضم,2,يهضم
حسناته,1,حسناته
ابتلينا,1,ابتلينا
يحضرني,1,يحضرني
اتعهد,1,اتعهد
بإنضاجه,1,بإنضاجه
مطايخنا,1,مطايخنا
السالميعلى,1,السالميعلى
تتوقعو,1,تتوقعو
فائدتك,1,فائدتك
اااااكل,1,اااااكل
رااااقد,1,رااااقد
عادكم,2,عادكم
ببطيخ,1,ببطيخ
مطوع,1,مطوع
وبيزعلوا,2,وبيزعلوا
أوتيتم,1,أوتيتم
يعاشر,1,يعاشر
خلقةالجن,1,خلقةالجن
والإنس,1,والإنس
إلاليعبدون,1,إلاليعبدون
المساعدين,1,المساعدين
يقدمونها,2,يقدمونها
البنقالي,1,البنقالي
طقطقة,1,طقطقة
لقط,1,لقط
ومهتمة,1,ومهتمة
إرهابيون,1,إرهابيون
ذئاب,1,ذئاب
وصدقها,1,وصدقها
الديسانق,1,الديسانق
مبجر,2,مبجر
ارهابين,1,ارهابين
يقتحموا,1,يقتحموا
السفارت,1,السفارت
زلال,1,زلال
بمنتجين,1,بمنتجين
جديدين,1,جديدين
النخلي,1,النخلي
فرصتي,1,فرصتي
يجلدهم,1,يجلدهم
تخابروا,1,تخابروا
نرجسيه,1,نرجسيه
إستثنوني,1,إستثنوني
الاستثناء,1,الاستثناء
حديقتين,1,حديقتين
ويحجز,1,ويحجز
آحتمال,1,آحتمال
المنتزهات,3,المنتزهات
نتغاضى,1,نتغاضى
سيئاتهم,1,سيئاتهم
نخسرهم,1,نخسرهم
ااا,1,ااا
الارمي,1,الارمي
فارمي,1,فارمي
بالبيض,1,بالبيض
فكثير,1,فكثير
جاهلون,1,جاهلون
جاهلان,1,جاهلان
وبالغصب,1,وبالغصب
زوجونا,1,زوجونا
راديكاليه,1,راديكاليه
تدعوهم,1,تدعوهم
وتقولهم,1,وتقولهم
EasyEnough,1,EasyEnough
شعارنا,1,شعارنا
مخها,1,مخها
والاكلات,1,والاكلات
الشعبيةالقديمة,1,الشعبيةالقديمة
خيبر,1,خيبر
الخيابر,1,الخيابر
ضاح,1,ضاح
لاح,1,لاح
وخبز,1,وخبز
الخيبري,1,الخيبري
والالعاب,1,والالعاب
والمنفذين,1,والمنفذين
أعبط,1,أعبط
لاهو,1,لاهو
ماطلع,1,ماطلع
بيكلمني,1,بيكلمني
يمهههه,2,يمهههه
شانهم,1,شانهم
ينشرها,2,ينشرها
وحمساويه,3,وحمساويه
TXTatMMA2020,1,TXTatMMA2020
تركماني,1,تركماني
الأعرجي,1,الأعرجي
اعتبروني,1,اعتبروني
هاشتاقلت,1,هاشتاقلت
وقنص,1,وقنص
تحسف,1,تحسف
هاشتاقات,1,هاشتاقات
ياماء,1,ياماء
ظمأ,1,ظمأ
ذقت,1,ذقت
الظما,1,الظما
للاحتشاد,1,للاحتشاد
بالستين,1,بالستين
جاوبه,1,جاوبه
الاضرعي,1,الاضرعي
مهاجرين,1,مهاجرين
بانشاء,1,بانشاء
النهي,1,النهي
لومتي,1,لومتي
تسذا,1,تسذا
وتغريداتي,1,وتغريداتي
السماجه,1,السماجه
تلوع,1,تلوع
وهيومن,1,وهيومن
ومواطنة,1,ومواطنة
حضراتكم,2,حضراتكم
نسيق,1,نسيق
ونحضرلكم,1,ونحضرلكم
والمشاريب,1,والمشاريب
يابيه,1,يابيه
تقعدوا,1,تقعدوا
تبهرونا,1,تبهرونا
بتويتاتكم,1,بتويتاتكم
وتهروا,1,وتهروا
المهرى,1,المهرى
والعربدة,1,والعربدة
وتدني,1,وتدني
فئات,1,فئات
وطنيتك,1,وطنيتك
المنوي,1,المنوي
لقح,1,لقح
بويضة,1,بويضة
وأنقى,1,وأنقى
المنوية,1,المنوية
مستواك,1,مستواك
برايز,3,برايز
الميلف,1,الميلف
كيكي,1,كيكي
امسخره,1,امسخره
تمسخرت,1,تمسخرت
justsaying,1,justsaying
استجاب,2,استجاب
ظلمهم,1,ظلمهم
فطس,1,فطس
المعززين,1,المعززين
مآمنة,2,مآمنة
للمية,1,للمية
الغربال,1,الغربال
لايطيب,1,لايطيب
بخبز,1,بخبز
أقولو,1,أقولو
التلفون,1,التلفون
براهو,1,براهو
اششووفف,1,اششووفف
ماحوقش,1,ماحوقش
جايبلنا,1,جايبلنا
مشلولين,1,مشلولين
يكرهونك,1,يكرهونك
بطيب,1,بطيب
وتتخذ,1,وتتخذ
يتسائلون,1,يتسائلون
اندفعت,1,اندفعت
عفويتك,1,عفويتك
تحميك,1,تحميك
وخبرة,1,وخبرة
البحوث,1,البحوث
والترجمة,1,والترجمة
الأحتياج,1,الأحتياج
بالارهابي,1,بالارهابي
مقررات,1,مقررات
نتطوع,1,نتطوع
لنبني,1,لنبني
مجتمعاتناالتطوع,1,مجتمعاتناالتطوع
ولحظات,1,ولحظات
ماتعة,1,ماتعة
العزوف,1,العزوف
وتتقفل,1,وتتقفل
فاحرص,1,فاحرص
بتساهلك,1,بتساهلك
عزوفك,1,عزوفك
