emoticon,english_translation,arabic_translation
👲 🏽,man_with_Chinese_cap_medium_skin_tone,رجل ذو قبعة صينية بلون بشرة متوسط
🕰,mantelpiece_clock,ساعة رف
👞,man’s_shoe,حذاء الرجل
🗾,map_of_Japan,خريطة اليابان
🍁,maple_leaf,ورقة القيقب
🥋,martial_arts_uniform,زي فنون الدفاع عن النفس
🍖,meat_on_bone,لحم على العظام
⚕,medical_symbol,رمز طبي
🏾,medium-dark_skin_tone,لون بشرة متوسط ​​الغامق
🏼,medium-light_skin_tone,لون بشرة متوسط ​​إلى فاتح
🏽,medium_skin_tone,لون بشرة متوسط
📣,megaphone,مكبر الصوت
🍈,melon,شمام
📝,memo,مذكرة
👯 ‍ ♂ ️,men_with_bunny_ears_partying,الرجال مع آذان الأرنب يحتفل
🤼 ‍ ♂ ️,men_wrestling,مصارعة الرجال
🕎,menorah,الشمعدان
🚹,men’s_room,غرفة رجال
🚇,metro,المترو
🎤,microphone,ميكروفون
🔬,microscope,مجهر
🖕,middle_finger,الاصبع الوسطى
🖕 🏿,middle_finger_dark_skin_tone,الاصبع الوسطى لون البشرة الداكنة
🖕 🏻,middle_finger_light_skin_tone,الاصبع الوسطى لون البشرة الفاتح
🖕 🏾,middle_finger_medium-dark_skin_tone,متوسط ​​لون البشرة الداكن الاصبع
🖕 🏼,middle_finger_medium-light_skin_tone,الاصبع الوسطى لون بشرة فاتح
🖕 🏽,middle_finger_medium_skin_tone,متوسط ​​لون البشرة الاصبع
🎖,military_medal,ميدالية عسكرية
🌌,milky_way,درب التبانة
🚐,minibus,حافلة صغيرة
🗿,moai,مواي
📱,mobile_phone,جوال
📴,mobile_phone_off,الهاتف المحمول قبالة
📲,mobile_phone_with_arrow,الهاتف المحمول مع السهم
🤑,money-mouth_face,وجه فم المال
💰,money_bag,حقيبة المال
💸,money_with_wings,المال مع الأجنحة
🐒,monkey,قرد
🐵,monkey_face,وجه القرد
🚝,monorail,سكة حديد أحادية
🎑,moon_viewing_ceremony,حفل مشاهدة القمر
🕌,mosque,مسجد
🛥,motor_boat,قارب بمحرك
🛵,motor_scooter,سكوتر
🏍,motorcycle,دراجة نارية
🛣,motorway,الطريق السريع
🗻,mount_fuji,جبل فوجى
⛰,mountain,جبل
🚠,mountain_cableway,التلفريك الجبلي
🚞,mountain_railway,السكك الحديدية الجبلية
🐁,mouse,الفأر
🐭,mouse_face,وجه الفأر
👄,mouth,فم
🎥,movie_camera,كاميرا الفيلم
🍄,mushroom,فطر
🎹,musical_keyboard,لوحة مفاتيح موسيقية
🎵,musical_note,نوتة موسيقية
🎶,musical_notes,النوتات الموسيقية
🎼,musical_score,النتيجة الموسيقية
🔇,muted_speaker,المتحدث الصامت
💅,nail_polish,طلاء الأظافر
💅 🏿,nail_polish_dark_skin_tone,طلاء الأظافر لهجة البشرة الداكنة
💅 🏻,nail_polish_light_skin_tone,طلاء الأظافر لون البشرة الفاتح
💅 🏾,nail_polish_medium-dark_skin_tone,طلاء الأظافر بلون بشرة متوسط ​​الغامق
💅 🏼,nail_polish_medium-light_skin_tone,طلاء الأظافر متوسط ​​درجة لون البشرة
💅 🏽,nail_polish_medium_skin_tone,طلاء الأظافر لون البشرة المتوسط
📛,name_badge,اسم شارة
🏞,national_park,متنزه قومي
🤢,nauseated_face,وجه مقرف
👔,necktie,ربطة عنق
🤓,nerd_face,وجه الطالب الذي يذاكر كثيرا
😐,neutral_face,وجه محايد
🌑,new_moon,قمر جديد
🌚,new_moon_face,وجه القمر الجديد
📰,newspaper,جريدة
⏭,next_track_button,زر المسار التالي
🌃,night_with_stars,ليلة مع النجوم
🕤,nine-thirty,التاسعة والنصف
🕘,nine_o’clock,الساعة التاسعة
🚳,no_bicycles,ممنوع ركوب دراجات
⛔,no_entry,ممنوع الدخول
🚯,no_littering,لا رمي النفايات
📵,no_mobile_phones,لا هواتف محمولة
🔞,no_one_under_eighteen,لا أحد دون الثامنة عشرة
🚷,no_pedestrians,لا للمشاة
🚭,no_smoking,ممنوع التدخين
🚱,non-potable_water,مياه غير صالحة للشرب
👃,nose,أنف
👃 🏿,nose_dark_skin_tone,الأنف لون البشرة الداكن
👃 🏻,nose_light_skin_tone,لون بشرة الأنف الفاتح
👃 🏾,nose_medium-dark_skin_tone,الأنف بشرة ذات لون غامق متوسط
👃 🏼,nose_medium-light_skin_tone,أنف بشرة ذات لون فاتح ومتوسط
👃 🏽,nose_medium_skin_tone,الأنف بشرة متوسطة
📓,notebook,دفتر
📔,notebook_with_decorative_cover,دفتر مع غطاء زخرفي
🔩,nut_and_bolt,الجوز والترباس
🐙,octopus,أخطبوط
🍢,oden,أودين
🏢,office_building,مبنى إداري
👹,ogre,غول
🛢,oil_drum,برميل الزيت
🗝,old_key,المفتاح القديم
👴,old_man,رجل عجوز
👴 🏿,old_man_dark_skin_tone,الرجل العجوز لهجة البشرة الداكنة
👴 🏻,old_man_light_skin_tone,الرجل العجوز لون البشرة الفاتح
👴 🏾,old_man_medium-dark_skin_tone,الرجل العجوز متوسط ​​لون البشرة الغامق
👴 🏼,old_man_medium-light_skin_tone,الرجل العجوز متوسط ​​لون البشرة الفاتح
👴 🏽,old_man_medium_skin_tone,الرجل العجوز متوسط ​​لون البشرة
👵,old_woman,امرأة كبيرة بالسن
👵 🏿,old_woman_dark_skin_tone,امرأة عجوز بلون البشرة الداكنة
👵 🏻,old_woman_light_skin_tone,امرأة عجوز بلون البشرة الفاتح
👵 🏾,old_woman_medium-dark_skin_tone,امرأة عجوز ذات لون بشرة داكن متوسط
👵 🏼,old_woman_medium-light_skin_tone,امرأة عجوز بلون بشرة متوسط ​​فاتح
👵 🏽,old_woman_medium_skin_tone,امرأة عجوز متوسط ​​لون البشرة
🕉,om,أوم
🚘,oncoming_automobile,قدوم السيارات
🚍,oncoming_bus,قدوم الحافلة
👊,oncoming_fist,قدوم القبضة
👊 🏿,oncoming_fist_dark_skin_tone,قدوم قبضة لهجة الجلد الداكن
👊 🏻,oncoming_fist_light_skin_tone,قدوم قبضة لون البشرة الفاتح
👊 🏾,oncoming_fist_medium-dark_skin_tone,القبضة القادمة بلون بشرة متوسط ​​داكن
👊 🏼,oncoming_fist_medium-light_skin_tone,القبضة القادمة لون بشرة متوسط ​​الفاتح
👊 🏽,oncoming_fist_medium_skin_tone,قبضة لون البشرة المتوسط
🚔,oncoming_police_car,سيارة شرطة قدوم
🚖,oncoming_taxi,قدوم سيارة أجرة
🕜,one-thirty,واحد وثلاثون
🕐,one_o’clock,الساعة الواحدة
📖,open_book,كتاب مفتوح
📂,open_file_folder,افتح مجلد الملف
👐,open_hands,أيادي مفتوحة
👐 🏿,open_hands_dark_skin_tone,فتح اليدين بلون البشرة الداكنة
👐 🏻,open_hands_light_skin_tone,فتح اليدين بلون البشرة الفاتح
👐 🏾,open_hands_medium-dark_skin_tone,تفتح الأيدي بلون بشرة متوسط ​​داكن
👐 🏼,open_hands_medium-light_skin_tone,يفتح الأيدي بلون بشرة متوسط ​​فاتح
👐 🏽,open_hands_medium_skin_tone,فتح اليدين متوسط ​​لون البشرة
📭,open_mailbox_with_lowered_flag,صندوق بريد مفتوح بعلم منخفض
📬,open_mailbox_with_raised_flag,صندوق بريد مفتوح بعلم مرفوع
💿,optical_disk,قرص بصري
📙,orange_book,كتاب برتقالي
☦,orthodox_cross,الصليب الأرثوذكسي
📤,outbox_tray,علبة الصادر
🦉,owl,بومة
🐂,ox,ثور
📦,package,صفقة
📄,page_facing_up,الصفحة متجهة لأعلى
📃,page_with_curl,الصفحة مع حليقة
📟,pager,بيجر
🖌,paintbrush,فرشاة الرسم
🌴,palm_tree,شجرة النخيل
🥞,pancakes,الفطائر
🐼,panda_face,وجه الباندا
📎,paperclip,مشبك ورق
〽,part_alternation_mark,علامة التناوب الجزء
🎉,party_popper,بوبر الحزب
🛳,passenger_ship,سفينة ركاب
🛂,passport_control,مراقبة جوازات السفر
⏸,pause_button,زر الإيقاف المؤقت
🐾,paw_prints,بمخالبه
☮,peace_symbol,رمز السلام
🍑,peach,خوخ
🥜,peanuts,الفول السوداني
🍐,pear,كمثرى
🖊,pen,قلم جاف
✏,pencil,قلم
🐧,penguin,البطريق
😔,pensive_face,وجه متأمل
👯,people_with_bunny_ears_partying,الناس مع آذان الأرنب يحتفل
🤼,people_wrestling,مصارعة الناس
🎭,performing_arts,الفنون التمثيلية
😣,persevering_face,وجه مثابر
🚴,person_biking,شخص يركب دراجة
🚴 🏿,person_biking_dark_skin_tone,شخص يركب دراجة بلون البشرة الداكنة
🚴 🏻,person_biking_light_skin_tone,شخص يركب دراجة بلون البشرة الفاتح
🚴 🏾,person_biking_medium-dark_skin_tone,شخص يركب دراجة بلون بشرة متوسط ​​داكن
🚴 🏼,person_biking_medium-light_skin_tone,شخص يركب دراجة بلون بشرة متوسط ​​فاتح
🚴 🏽,person_biking_medium_skin_tone,شخص يركب دراجة بلون بشرة متوسط
⛹,person_bouncing_ball,شخص كذاب الكرة
⛹ 🏿,person_bouncing_ball_dark_skin_tone,كذاب الكرة بشرة داكنة اللون
⛹ 🏻,person_bouncing_ball_light_skin_tone,الكرة ترتد بشرة فاتحة اللون
⛹ 🏾,person_bouncing_ball_medium-dark_skin_tone,شخص الكرة المرتدة لون بشرة متوسط ​​الغامق
⛹ 🏼,person_bouncing_ball_medium-light_skin_tone,كرة نطاطة بلون بشرة متوسط ​​إلى فاتح
⛹ 🏽,person_bouncing_ball_medium_skin_tone,الكرة شخص متوسط ​​لون البشرة
🙇,person_bowing,ركوع شخص
🙇 🏿,person_bowing_dark_skin_tone,انحنى شخص بشرة داكنة
🙇 🏻,person_bowing_light_skin_tone,انحنى شخص بشرة فاتحة اللون
🙇 🏾,person_bowing_medium-dark_skin_tone,شخص ينحني بلون بشرة متوسط ​​داكن
🙇 🏼,person_bowing_medium-light_skin_tone,شخص ينحني لون بشرة متوسط ​​إلى فاتح
🙇 🏽,person_bowing_medium_skin_tone,شخص ينحني لون بشرة متوسط
🤸,person_cartwheeling,شخص يتنقل
🤸 🏿,person_cartwheeling_dark_skin_tone,شخص يخترق لون البشرة الداكنة
🤸 🏻,person_cartwheeling_light_skin_tone,شخص cartwheeling لون البشرة الفاتح
🤸 🏾,person_cartwheeling_medium-dark_skin_tone,شخص يتدحرج بلون بشرة متوسط ​​داكن
🤸 🏼,person_cartwheeling_medium-light_skin_tone,شخص يتدحرج لون بشرة متوسط ​​إلى فاتح
🤸 🏽,person_cartwheeling_medium_skin_tone,شخص عربة ذات لون بشرة متوسط
🤦,person_facepalming,شخص يسخر
🤦 🏿,person_facepalming_dark_skin_tone,وجه الشخص لهجة البشرة الداكنة
🤦 🏻,person_facepalming_light_skin_tone,شخص الوجه يبطن لون البشرة الفاتح
🤦 🏾,person_facepalming_medium-dark_skin_tone,تخسيس وجه الشخص بلون بشرة داكن متوسط
🤦 🏼,person_facepalming_medium-light_skin_tone,الوجه بالوجه متوسط ​​لون البشرة الفاتح
🤦 🏽,person_facepalming_medium_skin_tone,شخص facepalming متوسط ​​لون البشرة
🤺,person_fencing,شخص المبارزة
🙍,person_frowning,شخص عابس
🙍 🏿,person_frowning_dark_skin_tone,شخص عابس البشرة السمراء
🙍 🏻,person_frowning_light_skin_tone,عابس بشرة فاتحة اللون
🙍 🏾,person_frowning_medium-dark_skin_tone,عابس بشرة ذات لون متوسط ​​إلى غامق
🙍 🏼,person_frowning_medium-light_skin_tone,عابس بشرة لونها متوسط ​​إلى فاتح
🙍 🏽,person_frowning_medium_skin_tone,عابس بشرة بلون متوسط
🙅,person_gesturing_NO,شخص يشير لا
🙅 🏿,person_gesturing_NO_dark_skin_tone,شخص يشير إلى عدم وجود لون بشرة داكن
🙅 🏻,person_gesturing_NO_light_skin_tone,شخص يشير إلى أي لون بشرة فاتح
🙅 🏾,person_gesturing_NO_medium-dark_skin_tone,شخص يشير إلى لون بشرة متوسط ​​داكن
🙅 🏼,person_gesturing_NO_medium-light_skin_tone,شخص يشير إلى لون بشرة متوسط ​​إلى فاتح
🙅 🏽,person_gesturing_NO_medium_skin_tone,شخص يشير إلى لون بشرة متوسط
🙆,person_gesturing_OK,شخص يشير إلى موافق
🙆 🏿,person_gesturing_OK_dark_skin_tone,شخص يشير إلى لون بشرة داكن
🙆 🏻,person_gesturing_OK_light_skin_tone,شخص يشير إلى ما يرام بشرة فاتحة اللون
🙆 🏾,person_gesturing_OK_medium-dark_skin_tone,شخص يشير بشكل جيد إلى لون بشرة متوسط ​​داكن
🙆 🏼,person_gesturing_OK_medium-light_skin_tone,شخص يشير بشكل جيد إلى لون بشرة متوسط ​​فاتح
🙆 🏽,person_gesturing_OK_medium_skin_tone,شخص يشير بشكل جيد إلى لون بشرة متوسط
💇,person_getting_haircut,شخص يحلق شعره
💇 🏿,person_getting_haircut_dark_skin_tone,شخص يحصل على بشرة داكنة اللون
💇 🏻,person_getting_haircut_light_skin_tone,شخص يحصل على بشرة فاتحة
💇 🏾,person_getting_haircut_medium-dark_skin_tone,الشخص الذي تعرض لقص شعره بلون بشرة متوسط ​​داكن
💇 🏼,person_getting_haircut_medium-light_skin_tone,الشخص الذي يتم قص شعره بلون بشرة متوسط ​​إلى فاتح
💇 🏽,person_getting_haircut_medium_skin_tone,الشخص الذي تعرض لقص شعره لون بشرة متوسط
💆,person_getting_massage,شخص يحصل على تدليك
💆 🏿,person_getting_massage_dark_skin_tone,شخص يحصل على تدليك بلون البشرة الداكن
💆 🏻,person_getting_massage_light_skin_tone,الشخص الذي يحصل على تدليك بلون البشرة الفاتح
💆 🏾,person_getting_massage_medium-dark_skin_tone,الشخص الذي يحصل على تدليك بلون بشرة متوسط ​​الغامق
💆 🏼,person_getting_massage_medium-light_skin_tone,الشخص الذي يحصل على تدليك بلون بشرة متوسط ​​إلى فاتح
💆 🏽,person_getting_massage_medium_skin_tone,الشخص الذي يحصل على تدليك بلون بشرة متوسط
🏌,person_golfing,لاعب الجولف
🏌 🏿,person_golfing_dark_skin_tone,لاعب الجولف لون البشرة الداكنة
🏌 🏻,person_golfing_light_skin_tone,لاعب الجولف لون البشرة الفاتح
🏌 🏾,person_golfing_medium-dark_skin_tone,شخص يمارس رياضة الجولف بلون بشرة متوسط ​​داكن
🏌 🏼,person_golfing_medium-light_skin_tone,لاعب الجولف متوسط ​​لون البشرة الفاتح
🏌 🏽,person_golfing_medium_skin_tone,لاعب الجولف متوسط ​​لون البشرة
🛌,person_in_bed,شخص في السرير
🛌 🏿,person_in_bed_dark_skin_tone,شخص في السرير لون البشرة الداكنة
🛌 🏻,person_in_bed_light_skin_tone,شخص في السرير بشرة فاتحة اللون
🛌 🏾,person_in_bed_medium-dark_skin_tone,شخص في السرير متوسط ​​لون البشرة غامق
🛌 🏼,person_in_bed_medium-light_skin_tone,شخص في السرير متوسط ​​لون البشرة فاتح
🛌 🏽,person_in_bed_medium_skin_tone,شخص في السرير متوسط ​​لون البشرة
🤹,person_juggling,شعوذة شخص
🤹 🏿,person_juggling_dark_skin_tone,شخص يتلاعب بلون البشرة الداكن
🤹 🏻,person_juggling_light_skin_tone,شخص شعوذة لون البشرة الفاتح
🤹 🏾,person_juggling_medium-dark_skin_tone,شخص يتلاعب بلون بشرة متوسط ​​داكن
🤹 🏼,person_juggling_medium-light_skin_tone,شخص يتلاعب بلون بشرة متوسط ​​إلى فاتح
🤹 🏽,person_juggling_medium_skin_tone,شعوذة شخص متوسط ​​لون البشرة
🏋,person_lifting_weights,رفع الأثقال
🏋 🏿,person_lifting_weights_dark_skin_tone,شخص يرفع أثقال بلون البشرة الداكنة
🏋 🏻,person_lifting_weights_light_skin_tone,شخص رفع الأثقال بلون البشرة الفاتح
🏋 🏾,person_lifting_weights_medium-dark_skin_tone,شخص يرفع الأثقال بلون بشرة متوسط ​​الغامق
🏋 🏼,person_lifting_weights_medium-light_skin_tone,شخص يرفع الأثقال بلون بشرة متوسط ​​إلى فاتح
🏋 🏽,person_lifting_weights_medium_skin_tone,شخص يرفع أوزاناً متوسطة لون البشرة
🚵,person_mountain_biking,شخص ركوب الدراجات الجبلية
🚵 🏿,person_mountain_biking_dark_skin_tone,شخص ركوب الدراجات الجبلية لهجة البشرة الداكنة
🚵 🏻,person_mountain_biking_light_skin_tone,شخص ركوب الدراجات الجبلية لون البشرة الفاتح
🚵 🏾,person_mountain_biking_medium-dark_skin_tone,الشخص الذي يركب دراجات الجبال لون بشرة متوسط ​​الغامق
🚵 🏼,person_mountain_biking_medium-light_skin_tone,الشخص الذي يركب دراجات الجبال متوسط ​​لون البشرة فاتح
🚵 🏽,person_mountain_biking_medium_skin_tone,شخص ركوب الدراجات الجبلية متوسط ​​لون البشرة
🤾,person_playing_handball,شخص يلعب كرة اليد
🤾 🏿,person_playing_handball_dark_skin_tone,شخص يلعب كرة اليد بلون البشرة الداكنة
🤾 🏻,person_playing_handball_light_skin_tone,شخص يلعب كرة اليد بلون البشرة الفاتح
🤾 🏾,person_playing_handball_medium-dark_skin_tone,شخص يلعب كرة اليد بلون بشرة متوسط ​​داكن
🤾 🏼,person_playing_handball_medium-light_skin_tone,شخص يلعب كرة يد بلون بشرة متوسط ​​فاتح
🤾 🏽,person_playing_handball_medium_skin_tone,شخص يلعب كرة اليد بلون بشرة متوسط
🤽,person_playing_water_polo,شخص يلعب كرة الماء
🤽 🏿,person_playing_water_polo_dark_skin_tone,شخص يلعب كرة الماء بلون بشرة داكن
🤽 🏻,person_playing_water_polo_light_skin_tone,شخص يلعب كرة الماء بلون البشرة الفاتح
🤽 🏾,person_playing_water_polo_medium-dark_skin_tone,شخص يلعب كرة الماء بلون بشرة متوسط ​​داكن
🤽 🏼,person_playing_water_polo_medium-light_skin_tone,شخص يلعب كرة الماء بلون بشرة متوسط ​​فاتح
🤽 🏽,person_playing_water_polo_medium_skin_tone,شخص يلعب كرة الماء بلون بشرة متوسط
🙎,person_pouting,شخص عابس
🙎 🏿,person_pouting_dark_skin_tone,شخص عابس بشرة داكنة اللون
🙎 🏻,person_pouting_light_skin_tone,شخص عابس بشرة فاتحة اللون
🙎 🏾,person_pouting_medium-dark_skin_tone,شخص عابس بلون بشرة متوسط ​​داكن
🙎 🏼,person_pouting_medium-light_skin_tone,شخص عابس لون بشرة متوسط ​​إلى فاتح
🙎 🏽,person_pouting_medium_skin_tone,عابس شخص متوسط ​​لون البشرة
🙋,person_raising_hand,شخص يرفع يده
🙋 🏿,person_raising_hand_dark_skin_tone,رفع يده بلون البشرة الداكنة
🙋 🏻,person_raising_hand_light_skin_tone,شخص يرفع يده بلون البشرة الفاتح
🙋 🏾,person_raising_hand_medium-dark_skin_tone,شخص يرفع يده بلون بشرة داكن متوسط
🙋 🏼,person_raising_hand_medium-light_skin_tone,شخص يرفع يده بلون بشرة فاتح متوسط
🙋 🏽,person_raising_hand_medium_skin_tone,شخص يرفع يده بلون بشرة متوسط
🚣,person_rowing_boat,شخص يجدف بالقارب
🚣 🏿,person_rowing_boat_dark_skin_tone,شخص يجدف قارب ذو بشرة داكنة
🚣 🏻,person_rowing_boat_light_skin_tone,شخص يجدف قارب ذو بشرة فاتحة
🚣 🏾,person_rowing_boat_medium-dark_skin_tone,شخص يجدف بالقارب بلون بشرة متوسط ​​داكن
🚣 🏼,person_rowing_boat_medium-light_skin_tone,شخص يجدف بالقارب بلون بشرة متوسط ​​فاتح
🚣 🏽,person_rowing_boat_medium_skin_tone,شخص يجدف قارب ذو بشرة متوسطة
🏃,person_running,شخص يركض
🏃 🏿,person_running_dark_skin_tone,شخص يركض بلون البشرة الداكنة
🏃 🏻,person_running_light_skin_tone,شخص يعمل بلون البشرة الفاتح
🏃 🏾,person_running_medium-dark_skin_tone,الشخص ذو لون بشرة متوسط ​​داكن
🏃 🏼,person_running_medium-light_skin_tone,الشخص ذو لون بشرة متوسط ​​فاتح
🏃 🏽,person_running_medium_skin_tone,شخص متوسط ​​لون البشرة
🤷,person_shrugging,يهز كتفيه
🤷 🏿,person_shrugging_dark_skin_tone,يتجاهل لون البشرة الداكنة
🤷 🏻,person_shrugging_light_skin_tone,يتجاهل لون البشرة الفاتح
🤷 🏾,person_shrugging_medium-dark_skin_tone,يهز كتفيه لون البشرة المتوسط ​​الغامق
🤷 🏼,person_shrugging_medium-light_skin_tone,يهز كتفيه لون البشرة المتوسط ​​الفاتح
🤷 🏽,person_shrugging_medium_skin_tone,يهز كتفيه لون البشرة المتوسط
🏄,person_surfing,شخص يتصفح
🏄 🏿,person_surfing_dark_skin_tone,شخص يتصفح لون البشرة الداكنة
🏄 🏻,person_surfing_light_skin_tone,شخص تصفح لون البشرة الفاتح
🏄 🏾,person_surfing_medium-dark_skin_tone,شخص يتصفح لون بشرة متوسط ​​داكن
🏄 🏼,person_surfing_medium-light_skin_tone,شخص يتصفح لون بشرة متوسط ​​إلى فاتح
🏄 🏽,person_surfing_medium_skin_tone,شخص يتصفح لون بشرة متوسط
🏊,person_swimming,شخص يسبح
🏊 🏿,person_swimming_dark_skin_tone,شخص يسبح بلون البشرة الداكنة
🏊 🏻,person_swimming_light_skin_tone,السباحة شخص فاتح لون البشرة
🏊 🏾,person_swimming_medium-dark_skin_tone,شخص يسبح ذو لون بشرة متوسط ​​داكن
🏊 🏼,person_swimming_medium-light_skin_tone,شخص يسبح متوسط ​​لون البشرة فاتح
🏊 🏽,person_swimming_medium_skin_tone,السباحة شخص متوسط ​​لون البشرة
🛀,person_taking_bath,شخص يستحم
🛀 🏿,person_taking_bath_dark_skin_tone,الشخص الذي يأخذ حمامًا ذو بشرة داكنة
🛀 🏻,person_taking_bath_light_skin_tone,الشخص الذي يأخذ حمامًا فاتح اللون
🛀 🏾,person_taking_bath_medium-dark_skin_tone,الشخص الذي يأخذ حمامًا بلون بشرة متوسط ​​داكن
🛀 🏼,person_taking_bath_medium-light_skin_tone,الشخص الذي يأخذ حماماً متوسط ​​لون البشرة فاتح
🛀 🏽,person_taking_bath_medium_skin_tone,الشخص يأخذ حمام متوسط ​​لون البشرة
💁,person_tipping_hand,شخص يميل بيده
💁 🏿,person_tipping_hand_dark_skin_tone,شخص يميل يده بلون البشرة الداكنة
💁 🏻,person_tipping_hand_light_skin_tone,شخص يميل يده بلون البشرة الفاتح
💁 🏾,person_tipping_hand_medium-dark_skin_tone,شخص يميل بيده إلى لون بشرة متوسط ​​الغامق
💁 🏼,person_tipping_hand_medium-light_skin_tone,شخص يميل بيده إلى لون بشرة متوسط ​​إلى فاتح
💁 🏽,person_tipping_hand_medium_skin_tone,شخص يميل بيده لون بشرة متوسط
🚶,person_walking,شخص يمشي
🚶 🏿,person_walking_dark_skin_tone,شخص يمشي بلون البشرة الداكنة
🚶 🏻,person_walking_light_skin_tone,شخص يمشي بشرة فاتحة اللون
🚶 🏾,person_walking_medium-dark_skin_tone,شخص يمشي بلون بشرة متوسط ​​داكن
🚶 🏼,person_walking_medium-light_skin_tone,شخص يمشي بلون بشرة متوسط ​​فاتح
🚶 🏽,person_walking_medium_skin_tone,شخص يمشي متوسط ​​لون البشرة
👳,person_wearing_turban,شخص يرتدي عمامة
👳 🏿,person_wearing_turban_dark_skin_tone,شخص يرتدي عمامة بشرة داكنة اللون
👳 🏻,person_wearing_turban_light_skin_tone,شخص يرتدي عمامة بشرة فاتحة اللون
👳 🏾,person_wearing_turban_medium-dark_skin_tone,شخص يرتدي عمامة بلون بشرة متوسط ​​داكن
👳 🏼,person_wearing_turban_medium-light_skin_tone,شخص يرتدي عمامة بلون بشرة فاتح متوسط
👳 🏽,person_wearing_turban_medium_skin_tone,شخص يرتدي عمامة بشرة متوسطة
⛏,pick,قطف او يقطف
🐖,pig,خنزير
🐷,pig_face,وجه خنزير
🐽,pig_nose,أنف خنزير
💩,pile_of_poo,كومة من البراز
💊,pill,حبوب منع الحمل
🎍,pine_decoration,زخرفة الصنوبر
🍍,pineapple,أناناس
🏓,ping_pong,بينج بونج
🔫,pistol,مسدس
🍕,pizza,بيتزا
🛐,place_of_worship,مكان للعبادة
▶,play_button,زر التشغيل
⏯,play_or_pause_button,زر التشغيل أو الإيقاف المؤقت
🚓,police_car,سيارة شرطة
🚨,police_car_light,ضوء سيارة الشرطة
👮,police_officer,ضابط شرطة
👮 🏿,police_officer_dark_skin_tone,ضابط شرطة لون البشرة الداكنة
👮 🏻,police_officer_light_skin_tone,ضابط شرطة لون البشرة الفاتح
👮 🏾,police_officer_medium-dark_skin_tone,ضابط شرطة ذو بشرة داكنة متوسطة
👮 🏼,police_officer_medium-light_skin_tone,ضابط شرطة ذو بشرة فاتحة متوسطة
👮 🏽,police_officer_medium_skin_tone,ضابط شرطة ذو بشرة متوسطة
🐩,poodle,القلطي
🎱,pool_8_ball,تجمع 8 الكرة
🍿,popcorn,الفشار
🏤,post_office,مكتب البريد
📯,postal_horn,بوق بريدي
📮,postbox,صندوق بريد
🍲,pot_of_food,وعاء من الطعام
🚰,potable_water,مياه صالحة للشرب
🥔,potato,البطاطس
🍗,poultry_leg,ساق الدواجن
💷,pound_banknote,الأوراق النقدية الجنيه
😾,pouting_cat_face,وجه قط عابس
😡,pouting_face,وجه عابس
📿,prayer_beads,مسبحة الصلاة
🤰,pregnant_woman,امرأة حامل
🤰 🏿,pregnant_woman_dark_skin_tone,المرأة الحامل لون البشرة الداكن
🤰 🏻,pregnant_woman_light_skin_tone,المرأة الحامل لون البشرة الفاتح
🤰 🏾,pregnant_woman_medium-dark_skin_tone,امرأة حامل بلون بشرة داكن متوسط
🤰 🏼,pregnant_woman_medium-light_skin_tone,المرأة الحامل ذات لون بشرة فاتح متوسط
🤰 🏽,pregnant_woman_medium_skin_tone,المرأة الحامل متوسط ​​لون البشرة
🤴,prince,أمير
🤴 🏿,prince_dark_skin_tone,الأمير لهجة البشرة الداكنة
🤴 🏻,prince_light_skin_tone,أمير البشرة الفاتحة
🤴 🏾,prince_medium-dark_skin_tone,الأمير متوسط ​​لون البشرة الغامق
🤴 🏼,prince_medium-light_skin_tone,الأمير متوسط ​​لون البشرة الفاتح
🤴 🏽,prince_medium_skin_tone,الأمير متوسط ​​البشرة
👸,princess,أميرة
👸 🏿,princess_dark_skin_tone,أميرة لون البشرة الداكن
👸 🏻,princess_light_skin_tone,أميرة لون البشرة الفاتح
👸 🏾,princess_medium-dark_skin_tone,أميرة ذات لون بشرة متوسط ​​داكن
👸 🏼,princess_medium-light_skin_tone,أميرة بشرة متوسطة الفاتحة
👸 🏽,princess_medium_skin_tone,أميرة متوسط ​​لون البشرة
🖨,printer,طابعة
🚫,prohibited,محظور
💜,purple_heart,قلب بنفسجي
👛,purse,كيس نقود
📌,pushpin,دبوس التثبيت
❓,question_mark,علامة استفهام
🐇,rabbit,أرنب
🐰,rabbit_face,وجه أرنب
🏎,racing_car,سيارة سباق
📻,radio,مذياع
🔘,radio_button,زر الراديو
☢,radioactive,المشعة
🚃,railway_car,سيارة سكة حديد
🛤,railway_track,مسار السكك الحديدية
🌈,rainbow,قوس المطر
🏳 ️ ‍ 🌈,rainbow_flag,علم قوس قزح
🤚,raised_back_of_hand,رفع ظهر اليد
🤚 🏿,raised_back_of_hand_dark_skin_tone,رفع ظهر اليد لون البشرة الداكنة
🤚 🏻,raised_back_of_hand_light_skin_tone,رفع ظهر اليد لون البشرة الفاتح
🤚 🏾,raised_back_of_hand_medium-dark_skin_tone,رفع ظهر اليد لون بشرة متوسط ​​الغامق
🤚 🏼,raised_back_of_hand_medium-light_skin_tone,رفع ظهر اليد لون بشرة متوسط ​​إلى فاتح
🤚 🏽,raised_back_of_hand_medium_skin_tone,رفع ظهر اليد متوسط ​​لون البشرة
✊,raised_fist,رفع قبضة
✊ 🏿,raised_fist_dark_skin_tone,رفع قبضة لون البشرة الداكنة
✊ 🏻,raised_fist_light_skin_tone,رفع قبضة لون البشرة الفاتح
